id,company_id,company_slug,company_name,company_yc_url,title,url,absolute_url,apply_url,location,type,role,role_specific_type,pretty_role,salary_range,equity_range,min_experience,min_school_year,visa,skills,is_incomplete,created_at,last_active
49042,22866,anima,Anima,https://www.ycombinator.com/companies/anima,Design Engineer,/companies/anima/jobs/yhwZten-design-engineer,https://www.ycombinator.com/companies/anima/jobs/yhwZten-design-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D49042&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22866,Remote,Full-time,design,UI / UX,Design,,,1+ years,,Will sponsor,Figma,False,over 4 years,
61544,22866,anima,Anima,https://www.ycombinator.com/companies/anima,Account Executive / Manager (Fullstack Sales),/companies/anima/jobs/KiHHqcN-account-executive-manager-fullstack-sales,https://www.ycombinator.com/companies/anima/jobs/KiHHqcN-account-executive-manager-fullstack-sales,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D61544&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22866,GB / Remote (GB),Full-time,sales,,Sales,,,1+ years,,US citizenship/visa not required,,False,about 3 years,
61545,22866,anima,Anima,https://www.ycombinator.com/companies/anima,Implementation & Customer Success,/companies/anima/jobs/7ZP8eZ4-implementation-customer-success,https://www.ycombinator.com/companies/anima/jobs/7ZP8eZ4-implementation-customer-success,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D61545&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22866,GB / Remote (GB),Full-time,support,,Support,,,1+ years,,US citizenship/visa not required,,False,about 3 years,
61546,22866,anima,Anima,https://www.ycombinator.com/companies/anima,Clinical Engineer,/companies/anima/jobs/dwSuRDL-clinical-engineer,https://www.ycombinator.com/companies/anima/jobs/dwSuRDL-clinical-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D61546&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22866,Remote,Full-time,eng,Full stack,Engineering,,,1+ years,,Will sponsor,JavaScript; Node.js; TypeScript,False,about 3 years,
68096,22866,anima,Anima,https://www.ycombinator.com/companies/anima,Staff QA Engineer,/companies/anima/jobs/wQ0anQ1-staff-qa-engineer,https://www.ycombinator.com/companies/anima/jobs/wQ0anQ1-staff-qa-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D68096&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22866,Remote,Full-time,eng,QA engineer,Engineering,£100 - £250 GBP,,6+ years,,Will sponsor,JavaScript,False,about 2 years,
67552,22878,popl,Popl,https://www.ycombinator.com/companies/popl,Account Executive (Mid-Market),/companies/popl/jobs/g3Lk6AG-account-executive-mid-market,https://www.ycombinator.com/companies/popl/jobs/g3Lk6AG-account-executive-mid-market,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D67552&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22878,Remote (US),Full-time,sales,,Sales,$140K - $200K,,3+ years,,US citizen/visa only,,False,about 2 years,about 2 months
75604,22878,popl,Popl,https://www.ycombinator.com/companies/popl,Head of Revenue Operations (RevOps),/companies/popl/jobs/Slmqp4e-head-of-revenue-operations-revops,https://www.ycombinator.com/companies/popl/jobs/Slmqp4e-head-of-revenue-operations-revops,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D75604&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22878,US / Remote (US),Full-time,sales,,Sales,$150K - $200K,,6+ years,,US citizen/visa only,,False,over 1 year,
76100,22878,popl,Popl,https://www.ycombinator.com/companies/popl,Customer Success Manager (Mid-Market),/companies/popl/jobs/8vthtps-customer-success-manager-mid-market,https://www.ycombinator.com/companies/popl/jobs/8vthtps-customer-success-manager-mid-market,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D76100&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22878,US / Remote (US),Full-time,support,,Support,$100K - $150K,,3+ years,,US citizen/visa only,,False,about 1 year,about 1 year
76798,22878,popl,Popl,https://www.ycombinator.com/companies/popl,Customer Solutions Engineer,/companies/popl/jobs/ZiNotQ3-customer-solutions-engineer,https://www.ycombinator.com/companies/popl/jobs/ZiNotQ3-customer-solutions-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D76798&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22878,US / Remote (US),Full-time,support,,Support,$80K - $110K,,3+ years,,US citizen/visa only,,False,about 1 year,
89717,22878,popl,Popl,https://www.ycombinator.com/companies/popl,Field Marketing Representative (FMR),/companies/popl/jobs/6qAeBNq-field-marketing-representative-fmr,https://www.ycombinator.com/companies/popl/jobs/6qAeBNq-field-marketing-representative-fmr,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D89717&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22878,US / Remote (US),Full-time,sales,,Sales,$65K - $85K,,1+ years,,US citizen/visa only,,False,6 months,
