id,company_id,company_slug,company_name,company_yc_url,title,url,absolute_url,apply_url,location,type,role,role_specific_type,pretty_role,salary_range,equity_range,min_experience,min_school_year,visa,skills,is_incomplete,created_at,last_active
88480,30247,osmosis,Osmosis,https://www.ycombinator.com/companies/osmosis,Machine Learning Engineer ,/companies/osmosis/jobs/N17l8oV-machine-learning-engineer,https://www.ycombinator.com/companies/osmosis/jobs/N17l8oV-machine-learning-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D88480&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30247,"San Francisco, CA, US",Full-time,eng,Machine learning,Engineering,$180K - $250K,,1+ years,,US citizen/visa only,Reinforcement learning (RL),False,4 months,3 months
93545,30254,hud,hud,https://www.ycombinator.com/companies/hud,Marketing & Events Lead ,/companies/hud/jobs/B59vJPJ-marketing-events-lead,https://www.ycombinator.com/companies/hud/jobs/B59vJPJ-marketing-events-lead,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D93545&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30254,San Francisco,Full-time,operations,,Operations,$100K - $150K,0.10% - 0.50%,3+ years,,Will sponsor,,False,12 days,
93544,30254,hud,hud,https://www.ycombinator.com/companies/hud,Recruiter,/companies/hud/jobs/gkaIWwX-recruiter,https://www.ycombinator.com/companies/hud/jobs/gkaIWwX-recruiter,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D93544&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30254,San Francisco,Full-time,recruiting,Recruiter,Recruiting & HR,$100K - $150K,0.10% - 0.50%,3+ years,,Will sponsor,,False,12 days,
93543,30254,hud,hud,https://www.ycombinator.com/companies/hud,GTM Engineer,/companies/hud/jobs/S4iMOoe-gtm-engineer,https://www.ycombinator.com/companies/hud/jobs/S4iMOoe-gtm-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D93543&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30254,San Francisco,Full-time,eng,Full stack,Engineering,$120K - $170K,0.25% - 0.75%,3+ years,,Will sponsor,,False,12 days,
93542,30254,hud,hud,https://www.ycombinator.com/companies/hud,Full-Stack Engineer (Front-End Spike),/companies/hud/jobs/GGpxuoA-full-stack-engineer-front-end-spike,https://www.ycombinator.com/companies/hud/jobs/GGpxuoA-full-stack-engineer-front-end-spike,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D93542&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30254,San Francisco,Full-time,eng,Full stack,Engineering,$140K - $250K,0.25% - 1.25%,3+ years,,Will sponsor,,False,12 days,
93541,30254,hud,hud,https://www.ycombinator.com/companies/hud,Research Engineer,/companies/hud/jobs/9sXeoEj-research-engineer,https://www.ycombinator.com/companies/hud/jobs/9sXeoEj-research-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D93541&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30254,San Francisco,Full-time,eng,Full stack,Engineering,$140K - $250K,0.25% - 1.25%,3+ years,,Will sponsor,,False,12 days,12 days
75067,30255,olive,Olive,https://www.ycombinator.com/companies/olive,Founding Software Engineer,/companies/olive/jobs/bKLtAX0-founding-software-engineer,https://www.ycombinator.com/companies/olive/jobs/bKLtAX0-founding-software-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D75067&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30255,"San Francisco, CA",Full-time,eng,Full stack,Engineering,$130K - $150K,0.50% - 1.50%,Any (new grads ok),,US citizen/visa only,PostgreSQL; React; TypeScript,False,about 1 year,
75069,30255,olive,Olive,https://www.ycombinator.com/companies/olive,Software Engineering Intern,/companies/olive/jobs/jxqs5Wy-software-engineering-intern,https://www.ycombinator.com/companies/olive/jobs/jxqs5Wy-software-engineering-intern,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D75069&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30255,"San Francisco, CA / Remote (US)",Full-time,eng,Full stack,Engineering,$15K - $20K,,,,US citizen/visa only,PostgreSQL; TypeScript,False,about 1 year,
76180,30256,pax-markets,PAX Markets,https://www.ycombinator.com/companies/pax-markets,Founding Hardware Engineer,/companies/pax-markets/jobs/uzbhpCT-founding-hardware-engineer,https://www.ycombinator.com/companies/pax-markets/jobs/uzbhpCT-founding-hardware-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D76180&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30256,"Redwood City, CA, US",Full-time,eng,Electrical,Engineering,$150K - $200K,0.25% - 0.50%,Any (new grads ok),,Will sponsor,C++; Rust; Verilog; VHDL,False,12 months,
76181,30256,pax-markets,PAX Markets,https://www.ycombinator.com/companies/pax-markets,Founding Software Engineer,/companies/pax-markets/jobs/gyUxpoz-founding-software-engineer,https://www.ycombinator.com/companies/pax-markets/jobs/gyUxpoz-founding-software-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D76181&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30256,"Redwood City, CA, US",Full-time,eng,Backend,Engineering,$150K - $200K,0.25% - 0.50%,Any (new grads ok),,Will sponsor,C++; Rust,False,12 months,
79068,30256,pax-markets,PAX Markets,https://www.ycombinator.com/companies/pax-markets,Founding Principal Hardware Engineer,/companies/pax-markets/jobs/qv4p3Al-founding-principal-hardware-engineer,https://www.ycombinator.com/companies/pax-markets/jobs/qv4p3Al-founding-principal-hardware-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D79068&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30256,"Redwood City, CA, US",Full-time,eng,Electrical,Engineering,$200K - $225K,0.50% - 1.00%,3+ years,,Will sponsor,C++; Rust; Verilog; VHDL,False,10 months,3 months
82689,30257,pave-robotics,Pave Robotics,https://www.ycombinator.com/companies/pave-robotics,Founding Robotics Engineer,/companies/pave-robotics/jobs/DDB4DVI-founding-robotics-engineer,https://www.ycombinator.com/companies/pave-robotics/jobs/DDB4DVI-founding-robotics-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D82689&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30257,"San Francisco, CA, US",Full-time,eng,Robotics,Engineering,$150K - $200K,,3+ years,,US citizen/visa only,C++; Python,False,7 months,about 1 month
